class,mem,fhr,bss,base rate,auc
sighail_rptdist_2hr,0,24,-inf,0.0,nan
sigwind_rptdist_2hr,0,24,-inf,0.0,nan
hailone_rptdist_2hr,0,24,0.029395852118045407,0.0022935779816513763,0.9621966794380588
wind_rptdist_2hr,0,24,-0.010588667877075464,0.0007645259938837921,0.9104820198928845
torn_rptdist_2hr,0,24,0.0016901270916088729,0.0007645259938837921,0.9586840091813312
any_rptdist_2hr,0,24,0.021440711527696887,0.00382262996941896,0.9361473522640062
flashes,0,24,-inf,0.0,nan
sighail_rptdist_2hr,1,24,-inf,0.0,nan
sigwind_rptdist_2hr,1,24,-inf,0.0,nan
hailone_rptdist_2hr,1,24,0.04007863016991775,0.0022935779816513763,0.9690932311621966
wind_rptdist_2hr,1,24,-0.042988512159112036,0.0007645259938837921,0.9410864575363428
torn_rptdist_2hr,1,24,0.00039940288856132877,0.0007645259938837921,0.9303749043611325
any_rptdist_2hr,1,24,0.034031300992345415,0.00382262996941896,0.9507290867229471
flashes,1,24,-inf,0.0,nan
sighail_rptdist_2hr,2,24,-inf,0.0,nan
sigwind_rptdist_2hr,2,24,-inf,0.0,nan
hailone_rptdist_2hr,2,24,0.00950878932215693,0.0022935779816513763,0.9524904214559387
wind_rptdist_2hr,2,24,-0.03569561563640278,0.0007645259938837921,0.8745218056618209
torn_rptdist_2hr,2,24,0.0018220948790751423,0.0007645259938837921,0.9495026778882937
any_rptdist_2hr,2,24,0.010945099105033496,0.00382262996941896,0.9306216423637759
flashes,2,24,-inf,0.0,nan
sighail_rptdist_2hr,3,24,-inf,0.0,nan
sigwind_rptdist_2hr,3,24,-inf,0.0,nan
hailone_rptdist_2hr,3,24,0.014275355697020653,0.0022935779816513763,0.9593869731800767
wind_rptdist_2hr,3,24,-0.02223741571264304,0.0007645259938837921,0.8584544758990054
torn_rptdist_2hr,3,24,-0.000784421311128769,0.0007645259938837921,0.9043611323641928
any_rptdist_2hr,3,24,0.007759956272171742,0.00382262996941896,0.9258633921719109
flashes,3,24,-inf,0.0,nan
sighail_rptdist_2hr,4,24,-inf,0.0,nan
sigwind_rptdist_2hr,4,24,-inf,0.0,nan
hailone_rptdist_2hr,4,24,0.016580344162795746,0.0022935779816513763,0.9507024265644956
wind_rptdist_2hr,4,24,-0.028189452464087328,0.0007645259938837921,0.9433817903596021
torn_rptdist_2hr,4,24,0.0009502083941003159,0.0007645259938837921,0.9648048967100229
any_rptdist_2hr,4,24,0.02975642036415027,0.00382262996941896,0.9436684574059863
flashes,4,24,-inf,0.0,nan
sighail_rptdist_2hr,5,24,-inf,0.0,nan
sigwind_rptdist_2hr,5,24,-inf,0.0,nan
hailone_rptdist_2hr,5,24,0.018815839067957807,0.0022935779816513763,0.9724137931034482
wind_rptdist_2hr,5,24,-0.03631728144352597,0.0007645259938837921,0.8194338179035959
torn_rptdist_2hr,5,24,2.6738657327274318e-05,0.0007645259938837921,0.9158377964804897
any_rptdist_2hr,5,24,0.010713614658356074,0.00382262996941896,0.9227935533384497
flashes,5,24,-inf,0.0,nan
sighail_rptdist_2hr,6,24,-inf,0.0,nan
sigwind_rptdist_2hr,6,24,-inf,0.0,nan
hailone_rptdist_2hr,6,24,0.007514436054846252,0.0022935779816513763,0.9670498084291188
wind_rptdist_2hr,6,24,-0.014036440615440293,0.0007645259938837921,0.9013006885998469
torn_rptdist_2hr,6,24,-0.0009611149018529108,0.0007645259938837921,0.8492731446059678
any_rptdist_2hr,6,24,0.004738980301256301,0.00382262996941896,0.9263238679969301
flashes,6,24,-inf,0.0,nan
sighail_rptdist_2hr,7,24,-inf,0.0,nan
sigwind_rptdist_2hr,7,24,-inf,0.0,nan
hailone_rptdist_2hr,7,24,0.008788722076977784,0.0022935779816513763,0.9642401021711368
wind_rptdist_2hr,7,24,-0.048814219469667686,0.0007645259938837921,0.8569242540168325
torn_rptdist_2hr,7,24,-0.0023199564270683926,0.0007645259938837921,0.9135424636572302
any_rptdist_2hr,7,24,0.006369887889918213,0.00382262996941896,0.9244819646968534
flashes,7,24,-inf,0.0,nan
sighail_rptdist_2hr,8,24,-inf,0.0,nan
sigwind_rptdist_2hr,8,24,-inf,0.0,nan
hailone_rptdist_2hr,8,24,0.008386107114539687,0.0022935779816513763,0.9673052362707535
wind_rptdist_2hr,8,24,-0.024219370728562284,0.0007645259938837921,0.8385615914307575
torn_rptdist_2hr,8,24,0.0008780527966808505,0.0007645259938837921,0.9609793420045907
any_rptdist_2hr,8,24,0.013393539323522274,0.00382262996941896,0.9341519570222563
flashes,8,24,-inf,0.0,nan
sighail_rptdist_2hr,9,24,-inf,0.0,nan
sigwind_rptdist_2hr,9,24,-inf,0.0,nan
hailone_rptdist_2hr,9,24,0.0006654030547059708,0.0022935779816513763,0.9489144316730523
wind_rptdist_2hr,9,24,-0.14994527995173113,0.0007645259938837921,0.8576893649579189
torn_rptdist_2hr,9,24,0.0013937329269184673,0.0007645259938837921,0.9487375669472073
any_rptdist_2hr,9,24,0.0011710871682886204,0.00382262996941896,0.9237145049884881
flashes,9,24,-inf,0.0,nan
sighail_rptdist_2hr,ensmean,24,-inf,0.0,nan
sigwind_rptdist_2hr,ensmean,24,-inf,0.0,nan
hailone_rptdist_2hr,ensmean,24,0.017733652375895415,0.0022935779816513763,0.9650063856960409
wind_rptdist_2hr,ensmean,24,-0.02989992871167968,0.0007645259938837921,0.8859984697781178
torn_rptdist_2hr,ensmean,24,0.0005898113763662671,0.0007645259938837921,0.9372609028309105
any_rptdist_2hr,ensmean,24,0.018300569369096742,0.00382262996941896,0.9341519570222563
flashes,ensmean,24,-inf,0.0,nan
