class,mem,fhr,bss,base rate,auc
sighail_rptdist_2hr,0,12,-0.0021156556683177286,3.733293511535877e-05,0.9437086256184462
sigwind_rptdist_2hr,0,12,0.03917768731856108,0.0002545427394229007,0.9838211500792678
hailone_rptdist_2hr,0,12,0.03070064303480402,0.0005532062203457708,0.9733674773981037
wind_rptdist_2hr,0,12,0.11121295331058778,0.001870040658960244,0.980871608057559
torn_rptdist_2hr,0,12,0.060478294081851014,0.00027490615857673275,0.9917308070720731
any_rptdist_2hr,0,12,0.11203547788903911,0.002338399299498381,0.9769855363214193
sighail_rptdist_2hr,1,12,-0.0012759243785682717,3.733293511535877e-05,0.96219852915086
sigwind_rptdist_2hr,1,12,0.02807575820208541,0.0002545427394229007,0.9886072061857186
hailone_rptdist_2hr,1,12,0.027139965055033244,0.0005532062203457708,0.9764197539583201
wind_rptdist_2hr,1,12,0.11268362524053377,0.001870040658960244,0.9828494681567795
torn_rptdist_2hr,1,12,0.052898797208384085,0.00027490615857673275,0.9923165211392485
any_rptdist_2hr,1,12,0.11237819714040265,0.002338399299498381,0.9791828971875585
sighail_rptdist_2hr,2,12,-0.008562788390523046,3.733293511535877e-05,0.9376070855002414
sigwind_rptdist_2hr,2,12,0.033852311288361414,0.0002545427394229007,0.9858753011441497
hailone_rptdist_2hr,2,12,0.01523166486569516,0.0005532062203457708,0.9696193155733114
wind_rptdist_2hr,2,12,0.11258857417941248,0.001870040658960244,0.982335047421156
torn_rptdist_2hr,2,12,0.053194568504771,0.00027490615857673275,0.9900099602825091
any_rptdist_2hr,2,12,0.1117977500915005,0.002338399299498381,0.9777927468860124
sighail_rptdist_2hr,3,12,0.0008283250979965739,3.733293511535877e-05,0.9442549101584858
sigwind_rptdist_2hr,3,12,0.031787304209904055,0.0002545427394229007,0.9869028972075776
hailone_rptdist_2hr,3,12,0.023994604756954696,0.0005532062203457708,0.9761610808035853
wind_rptdist_2hr,3,12,0.11212672830828241,0.001870040658960244,0.9805937400192519
torn_rptdist_2hr,3,12,0.049538462522760174,0.00027490615857673275,0.9898588062371948
any_rptdist_2hr,3,12,0.11370556057754133,0.002338399299498381,0.977668697562783
sighail_rptdist_2hr,4,12,0.0006000959369668601,3.733293511535877e-05,0.9568382760179389
sigwind_rptdist_2hr,4,12,0.03992942034507296,0.0002545427394229007,0.9872664767860153
hailone_rptdist_2hr,4,12,0.019569813334514685,0.0005532062203457708,0.970121349615336
wind_rptdist_2hr,4,12,0.09892741655228643,0.001870040658960244,0.9810485327515409
torn_rptdist_2hr,4,12,0.04740283068092921,0.00027490615857673275,0.9903644063552177
any_rptdist_2hr,4,12,0.10363406574604861,0.002338399299498381,0.9765469410277234
sighail_rptdist_2hr,5,12,-0.00346768443865364,3.733293511535877e-05,0.9385217765586698
sigwind_rptdist_2hr,5,12,0.035333818914321524,0.0002545427394229007,0.9857347577776948
hailone_rptdist_2hr,5,12,0.023208501555637584,0.0005532062203457708,0.97529190650417
wind_rptdist_2hr,5,12,0.10270812864089807,0.001870040658960244,0.9815941420955838
torn_rptdist_2hr,5,12,0.032730435253686685,0.00027490615857673275,0.9901063568731712
any_rptdist_2hr,5,12,0.10230151261727605,0.002338399299498381,0.9777991802983458
sighail_rptdist_2hr,6,12,-0.01129062386257429,3.733293511535877e-05,0.9531261329503222
sigwind_rptdist_2hr,6,12,0.03690910732253316,0.0002545427394229007,0.9863042639408948
hailone_rptdist_2hr,6,12,0.023306514422977376,0.0005532062203457708,0.9740575294179387
wind_rptdist_2hr,6,12,0.10487465666594176,0.001870040658960244,0.9797583678916053
torn_rptdist_2hr,6,12,0.05258279951829514,0.00027490615857673275,0.9917141891380741
any_rptdist_2hr,6,12,0.10742373825996077,0.002338399299498381,0.9762154474840922
sighail_rptdist_2hr,7,12,-0.005822479249551149,3.733293511535877e-05,0.9516974006359178
sigwind_rptdist_2hr,7,12,0.06129314000921915,0.0002545427394229007,0.985852126199343
hailone_rptdist_2hr,7,12,0.017802528690010755,0.0005532062203457708,0.9781750502164248
wind_rptdist_2hr,7,12,0.11991898186687666,0.001870040658960244,0.98172129707708
torn_rptdist_2hr,7,12,0.05340530422972978,0.00027490615857673275,0.990160045583014
any_rptdist_2hr,7,12,0.11905822848912484,0.002338399299498381,0.9786666763307744
sighail_rptdist_2hr,8,12,-0.00514997308376719,3.733293511535877e-05,0.9540007127462793
sigwind_rptdist_2hr,8,12,0.061781371910965555,0.0002545427394229007,0.9882667110249594
hailone_rptdist_2hr,8,12,0.019490750323373773,0.0005532062203457708,0.9745340430142216
wind_rptdist_2hr,8,12,0.10234382860939617,0.001870040658960244,0.9811420060106878
torn_rptdist_2hr,8,12,0.0530052240443557,0.00027490615857673275,0.9911397702366306
any_rptdist_2hr,8,12,0.10470194460149107,0.002338399299498381,0.9774469324579047
sighail_rptdist_2hr,9,12,-0.016000310934908057,3.733293511535877e-05,0.9519181668535954
sigwind_rptdist_2hr,9,12,0.062266001258271864,0.0002545427394229007,0.9878190543762512
