class,mem,fhr,bss,base rate,auc
sighail_rptdist_2hr,0,12,-0.0030846744771455548,3.869669530222119e-05,0.9410730465168269
sigwind_rptdist_2hr,0,12,0.04021159189886436,0.0002638411043333263,0.9862443860322018
hailone_rptdist_2hr,0,12,0.018571774022486998,0.0005734146667510958,0.9713836253010999
wind_rptdist_2hr,0,12,0.10095128065267911,0.0019383526465021705,0.9798928686671717
torn_rptdist_2hr,0,12,0.0469869360710935,0.0002849483926799924,0.9908292884629561
any_rptdist_2hr,0,12,0.10242173156282686,0.002423820278475491,0.9763670102798778
sighail_rptdist_2hr,1,12,-0.009402850975609889,3.869669530222119e-05,0.9528033962301563
sigwind_rptdist_2hr,1,12,0.04974186460140606,0.0002638411043333263,0.9839615229877978
hailone_rptdist_2hr,1,12,0.02315212201029726,0.0005734146667510958,0.9717237383140678
wind_rptdist_2hr,1,12,0.11263315791307316,0.0019383526465021705,0.9805846880520739
torn_rptdist_2hr,1,12,0.06500958404215829,0.0002849483926799924,0.9910199164060847
any_rptdist_2hr,1,12,0.11506593442626334,0.002423820278475491,0.9765872662129319
sighail_rptdist_2hr,2,12,-0.010904573119114858,3.869669530222119e-05,0.9476288721779503
sigwind_rptdist_2hr,2,12,0.04499096175997186,0.0002638411043333263,0.9857791524594721
hailone_rptdist_2hr,2,12,0.01626809137410301,0.0005734146667510958,0.9728966963192668
wind_rptdist_2hr,2,12,0.11150998148972147,0.0019383526465021705,0.9801476715515337
torn_rptdist_2hr,2,12,0.058936001226569945,0.0002849483926799924,0.9894993674914453
any_rptdist_2hr,2,12,0.11369761424737801,0.002423820278475491,0.9763740196329549
sighail_rptdist_2hr,3,12,-0.003070195969031797,3.869669530222119e-05,0.9328410454140883
sigwind_rptdist_2hr,3,12,0.03890597079889013,0.0002638411043333263,0.9862363631458628
hailone_rptdist_2hr,3,12,0.01804199100172199,0.0005734146667510958,0.9705039202937489
wind_rptdist_2hr,3,12,0.10818612545327622,0.0019383526465021705,0.980526520683438
torn_rptdist_2hr,3,12,0.056765682296554765,0.0002849483926799924,0.989559557786615
any_rptdist_2hr,3,12,0.10846545061332358,0.002423820278475491,0.9763263488665732
