class,mem,fhr,bss,base rate,auc
sighail_rptdist_2hr,0,12,-0.001646413326995777,3.869669530222119e-05,0.9415927536514623
sigwind_rptdist_2hr,0,12,0.04427785188342881,0.0002638411043333263,0.986791068322384
hailone_rptdist_2hr,0,12,0.021371112564531503,0.0005734146667510958,0.9724831728816904
wind_rptdist_2hr,0,12,0.10915952496166814,0.0019383526465021705,0.9824719290631123
torn_rptdist_2hr,0,12,0.041909985612625156,0.0002849483926799924,0.9912436913684943
any_rptdist_2hr,0,12,0.10756183931433272,0.002423820278475491,0.9778162906342804
sighail_rptdist_2hr,1,12,-0.0029950769561564172,3.869669530222119e-05,0.9702813870327793
sigwind_rptdist_2hr,1,12,0.058202527657776004,0.0002638411043333263,0.9869415560880687
hailone_rptdist_2hr,1,12,0.020995104753398053,0.0005734146667510958,0.9777226624340339
wind_rptdist_2hr,1,12,0.1126666155123972,0.0019383526465021705,0.9804904323506369
torn_rptdist_2hr,1,12,0.06121512727707035,0.0002849483926799924,0.9890261644671686
any_rptdist_2hr,1,12,0.1165807158994544,0.002423820278475491,0.977593557500139
sighail_rptdist_2hr,2,12,-0.0012982710182625201,3.869669530222119e-05,0.9305381831230465
sigwind_rptdist_2hr,2,12,0.047855869379411664,0.0002638411043333263,0.9862776505141568
hailone_rptdist_2hr,2,12,0.016335634646497343,0.0005734146667510958,0.9732632409720996
wind_rptdist_2hr,2,12,0.09916996436636483,0.0019383526465021705,0.9815980911686791
torn_rptdist_2hr,2,12,0.04998214579058957,0.0002849483926799924,0.991655596300758
any_rptdist_2hr,2,12,0.10494026880974772,0.002423820278475491,0.9778005726910168
sighail_rptdist_2hr,3,12,-0.001961085837752119,3.869669530222119e-05,0.9705193329454985
sigwind_rptdist_2hr,3,12,0.06813034560017295,0.0002638411043333263,0.987584630307978
hailone_rptdist_2hr,3,12,0.02514307422905404,0.0005734146667510958,0.9765016243257638
wind_rptdist_2hr,3,12,0.11192862271004067,0.0019383526465021705,0.9819402154723268
torn_rptdist_2hr,3,12,0.0609227272969497,0.0002849483926799924,0.9912803789933741
any_rptdist_2hr,3,12,0.11031167178079493,0.002423820278475491,0.9781225295005349
sighail_rptdist_2hr,4,12,-0.012443619728341515,3.869669530222119e-05,0.9569132402508538
sigwind_rptdist_2hr,4,12,0.039056360519101774,0.0002638411043333263,0.9790266502924717
hailone_rptdist_2hr,4,12,0.012267802978238485,0.0005734146667510958,0.9748790801063751
wind_rptdist_2hr,4,12,0.12167056096502293,0.0019383526465021705,0.9790241291333239
torn_rptdist_2hr,4,12,0.0733654600638668,0.0002849483926799924,0.9879425653820612
any_rptdist_2hr,4,12,0.11575847198618894,0.002423820278475491,0.9763050085981142
sighail_rptdist_2hr,5,12,-0.005898675946953924,3.869669530222119e-05,0.9513958693996759
sigwind_rptdist_2hr,5,12,0.02954296942125001,0.0002638411043333263,0.9867101826144992
hailone_rptdist_2hr,5,12,0.014638724192524766,0.0005734146667510958,0.9739120686284573
wind_rptdist_2hr,5,12,0.11347140316232507,0.0019383526465021705,0.9812148537364467
torn_rptdist_2hr,5,12,0.05507871218063842,0.0002849483926799924,0.9891036016386878
